16,മിഹാശ്വതി ,ഭഭ ഭഭ ഭഗം,,22,BBBBBG
16,ശൈല ശിഖ ,ഭര നഭ ഭഗം ,,22,BRNBBG
16,ഛാന്ദസി ,രര രര രഗം  ,,27,RRRRRG
16,ധീര ലളിത  ,ഭര നര നഗം,,22,BRNRNG
16,വാണിനീതി( ഭാരതി),നജ ഭജ രഗം ,,22,NJBJRG
16,പരിമളം ,നന നന ഗം ,,14,NNNNG
16,രുചിരതരം ,മഭ നജ നഗം ,,22,MBNJNG
16,സാരസനയന  ,നന നത മഗം ,,22,NNNTMG
16,പത്രലത ,ഭസ സസ ഭഗം ,,22,BSSSBG
16,രസരംഗം ,നയ നയ സഗം ,,22,NYNYSG
16,കമനീയ ,സസ സസ സഗം,,22,SSSSSG
16,അമലാഖ്യം ,സഭ സഭ സഗം,,22,SBSBSG
16,ഗിരിസാരം ,നജ യഭ സഗം,,22,NJYBSG
16,അതിമുദിതം ,തത തസ തഗം ,,26,TTTSTG
17,ശിഖരിണി ,യമ നസ ഭലം ഗം,,25,YMNSBLG
17,പൃത്ഥി,ജസ ജസ യഗം ,6,23,JSJSYG
16,മന്ദാക്രാന്താ ,മഭന തതഗം ,"4,7",25,MBNTTG
16,ഹരിണി ,നസമ രസ ലഗം ,710,25,NSMRSLG
16,വംശപത്രപതിതം ,ഭരന ഭന ലഗം,10,22,BRNBNLG
16,നർക്കുടകം ,നജഭ ജജ ലഗം,7,22,NJBJJLG
16,ഹരി ,നനമ രസ ലഗം,,24,NNMRSLG
16,കാന്ത ,യഭന രസ ലഗം,,24,YBNRSLG
17,ചിത്രലേഖ ,നജസ ഭജ ഗഗം ,,23,NSJBJGG
17,മണിദീപം ,നനന നന ഗഗം ,,19,NNNNNGG
17,പരിണാമം ,ഭസന  നഭ ഗഗം ,,22,BSNNBGG
17,രമണീവൃത്തം ,നനഭ നയ ഗഗം ,,22,NNBNYGG
17,സുലലാമ ,നനത നഭ ഗഗം ,7,22,NNTNBGG
17,ജഗതീ തിലകം  ,സസന ജന ഗഗം ,,22,SSNJNGG
17,സശരീരം  ,നജന ഭഭ ഗഗം,,22,NJNBBGG
17,ഗണജാലം ,നജന സഭ ഗഗം ,,22,NJNSBGG
17,പുളകാധിപ ,സനന യന ലഗം,,21,SNNYNLG
17,മദനീയം ,നനഭ സഭ ഗഗം ,,22,NNBSBGG
17,ശ്രവണീയാഭിധ,സഭത യന ലഗം,,24,SBTYNLG
18,മല്ലിക ,രജസ ജഭരം ,,26,RJSJBR
18,രമണം ,ഭസന ജനസം ,,22,BSNJNS
18,ഹരനർത്തനം ,രനജ യഭരം  ,"5,8",26,RNJYBR
18,ഭാവതരണം ,ഭഭന നഭസം ,,22,BBNNBS
18,കരകമലം ,ഭഭന ജനസം ,,22,BBNJNS
18,സുകൃതം ,ഭസന നഭസം ,,22,BSNNBS
18,ശങ്കരചരിതം ,സനജ നഭസം ,,22,SNJNBS
18,ശ്രീസദനം ,സനന നയസം ,,22,SNNNYS
18,കുസുമിത ലതാവേല്ലിത,മതന യയം ,"5,6,7",24,MTNYY
18,അലസ  ( ദിശ/ നിശ),നനര രരരം ,10,26,NNRRRR
18,സിംഹവിഷ്‌ഫൂർജിതം ,മമഭ മയയം ,"5,6,7",32,MMBMYY
18,ഹരിണപ്ലുതം ,മസജ   ഭരം ,"8,5,5",23,MSJBR
18,മഹാമാലിക ,നനര രരരം ,,26,NNRRRR
18,അശ്വഗതി ,ഭഭഭ  ഭഭസം ,,24,BBBBBS
19,ശാർദ്ദൂലവിക്രീഡിതം ,മസജ സതതംഗം ,12,30,MSJSTTG
19,മേഘവിഷ്പൂർജിതം ,യമന സരരം ,"6,6,7",28,YMNSRR
19,മകരന്ദിക ,യമന സജജഗം ,,26,NBRSJJG
19,ഭ്രമരാവലി ,നഭര സജജഗം ,,26,NBRSJJG
19,മണി ദീപ്‌തയാഭിധം ,മസസ തജയഗം ,,30,MSSTJYG
19,വാണി ,മഭസ നയസഗം ,,28,MBSNYSG
19,പ്രഥമപദം,നനഭ നജനഗം ,,22,NNBNJNG
19,കമലാക്ഷാഖ്യം ,ഭതയ ഭസസഗം ,,28,BTYBSSG
19,അമലതാരഭിധം ,നജന സനനഗം ,,22,NJNSNNG
19,കുവലിനി ,നജന നജനഗം,,22,NJNNJNG
19,കുലപാലം ,സനന നസസഗം ,,23,SNNNSSG
19,സുഖകര ,നനന ജനസഗം ,,22,NNNJNSG
19,ധൃതകുതുകം ,നനഭ ഭനനഗം ,,22,NNBBNNG
20,വൃത്തം ,രജര ജരജഗലം ,,30,RJRJRJGL
20,സുവദന ,മരഭ നയഭഗലം ,,30,MRBNYBGL
20,ഉത്പലമാലിക ,ഭരന ഭഭരലഗം,,28,BRNBBRLG
20,മത്തേഭവിക്രീഡിതം,ഗം മസജ സതത ഗം ,,32,GMSJSTTG
20,പാത്രം ,നനജ നനന ഗഗം ,,23,NNJNNNGG
20,കാരീരം ,നയസ തനഭ ഗഗം ,,28,NYSTNBGG
20,മധുരതരം ,നനന നസന ലഗം,,22,NNNNSNGG
20,വനമാലം ,സഭസ ഭസഭ  ഗഗം,,28,SBSBSBLG
20,ഭവസാരം ,നജജ നനന ഗഗം ,,24,NJJNNNGG
20,ഗംഗ ,നയമ നനഭ ഗഗം ,,28,NYMNNBGG
20,രസപാത്രാഖ്യം ,നയഭ തനഭ ഗഗം ,,28,NYBTNBGG
21,ശ്രഗന്ധര,മരഭ നയയ യം ,,33,MRBNYYY
21,കുസുമമഞ്ജരി,രനര നരന രം ,,29,RNRNRNR
21,സലിലനിധി ,നജഭ ജജജ രം ,,27,NJNJJJR
21,തടിനി ,സജസ ജസജ സം ,,28,SJSJSJS
21,അതിരുചിര ,നനന നനന സം ,,22,NNNNNNS
21,കുമുദിനി ,നഭന ഭനഭ രം ,,26,NBNBNBR
21,ശശികല ,തനന യനജ യം ,,28,TNNYNJY
21,കളത്രം ,നയന യനജ യം ,,28,NYNYNJY
21,മനപായം ,സഭഭ സസന യം ,,28,SBBSSNY
