12,പുടം,"7,5",17,NNMY
15,മാലിനി ,,22,NNMYY
19,സുഖകര ,,22,NNNJNSG
,(A/V)ഉപസ്ഥിത പ്രചൂപിത/വർദ്ധമാന/ ശുദ്ധവിരാടാർഷഭം–പാദം-4,,,NNNJY
11,രമണം-3,,12,NNNLG
13,അഘഹരണം ,,14,NNNNG
16,പരിമളം ,,14,NNNNG
17,മണിദീപം ,,19,NNNNNGG
,(A/V)ആപീഡം-പാദം-4,,,NNNNNNGG
21,അതിരുചിര-2 ,,22,NNNNNNS
24,വിലാസിനി ,,32,NNNNRRRR
15,ശശികല-2 ,,16,NNNNS
,(A/V)ആപീഡം-പാദം-3,,,NNNNSG
20,മധുരതരം ,,22,NNNNSNGG
16,സാരസനയന  ,,22,NNNTMG
,(A/V)ആപീഡം-പാദം-2,,,NNNY
13,നവ താരുണ്യം ,,16,NNNYG
11,രഥോദ്ധത  ,,14,NNRLG
11,ഭദ്രക ,,14,NNRLG
,"(A/V)അപരവക്ത്രം-പാദം-1,3",,,NNRLG
12,പ്രഭ(ഗൗരി/പ്രമുദിതവദന),7,16,NNRR
18,അലസ(ദിശ/നിശ),10,26,NNRRRR
18,മഹാമാലിക ,,26,NNRRRR
,(D)ചണ്ഡവൃഷ്ടി പ്രയാതം ,,,NNRRRRRRR
,(D)അർണ്ണം,,,NNRRRRRRRR
,(D)അർണ്ണവം ,,,NNRRRRRRRRR
,(D)വ്യാളം,,,NNRRRRRRRRRR
,(D)ജീമൂതം,,,NNRRRRRRRRRRR
,(D)ലീലാകരം ,,,NNRRRRRRRRRRRR
14,അപരാജിത ,7,18,NNRSLG
,"(A/V)പുഷ്പിതാഗ്ര-പാദം-1,3",,,NNRY
,(A/V)ഉപസ്ഥിതപ്രചൂപിത-പാദം-3,,,NNS
11,വൃത്ത,Check,14,NNSGG
,(A/V)വർദ്ധമാന-പാദം-3,,,NNSNNS
,(A/V)ലളിതാ-പാദം-3,,,NNSS
15,ഉപമാലിനി ,8,20,NNTBR
11,ചിത്രവൃത്താ ,,15,NNTGG
17,സുലലാമ ,7,22,NNTNBGG
13,മംഗളഫലകം ,,16,NNTNG
13,ക്ഷമ,7,16,NNTT
13,വിദ്യുത്ത്   ,6,18,NNTTG
,(D)പ്രചിതകം,,,NNYYYYYYY
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,NRGG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,NRGL
10,മനോരമ ,,14,NRJG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,NRLG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,NRLL
14,സുകേസരം,,19,NRNRLG
22,തരംഗിണി(സംസ്‌കൃത),,26,NRNRNRG
11,സമ്മത,,16,NRRLG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,NSGG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,NSGL
17,ചിത്രലേഖ ,,23,NSJBJGG
,(A/V)ലളിതാ/സൗരഭ/ഉദ്ഗതാ-പാദം-2,,,NSJG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,NSLG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,NSLL
16,ഹരിണി ,710,25,NSMRSLG
13,ചന്ദ്രലേഖ-2 ,,19,NSRRG
8,വിപുല ,,,NTG
8,വിപുല ,,,NTL
13,ഉർവശി ,,20,NTTTG
11,മൗക്തിക പംക്തി ,,16,NYBGG
20,രസപാത്രം  ,,28,NYBTNBGG
8,വിപുല ,,,NYG
8,വിപുല ,,,NYL
20,ഗംഗ ,,28,NYMNNBGG
12,കുസുമവിചിത്ര,,16,NYNY
15,സംസാരം ,,22,NYNYM
21,കളത്രം ,,28,NYNYNJY
16,രസരംഗം ,,22,NYNYSG
22,ലക്ഷ്‌മി ,,28,NYSBNNSG
20,കാരീരം ,,28,NYSTNBGG
3,മൃഗി ,,5,R
8,വിപുല ,,,RBL
8,ചപലവക്ത്രം ,,,RBLG
8,വിപുല ,,,RJG
8,സമാനിക ,,12,RJGL
8,വിപുല ,,,RJL
10,മയൂര സാരിണി   ,,16,RJRG
,"(A/V)പരാവതി-പാദം-1,3",,,RJRJM
20,വൃത്തം ,,30,RJRJRJGL
26,കന്യകാമണി ,,39,RJRJRJRJLG
